User,Weight-based,Calisthenics,Low-impact,Yoga,Pilates,Barre,Mobility,Flexibility,Core,Road Running ,Treadmill Running,Track Running,HIIT,Circuit,CrossFit,Cycling,Skipping,Swimming,Elliptical ,Rowing ,Stair Climb
10,0.9,0.7,0.6,0.1,0.2,0.4,0.3,0.2,0.3,0.6,0.6,0.7,0.9,0.7,0.7,0.7,0.7,0.5,0.6,0.4,0.7
11,0.9,0.7,0.6,0.1,0.2,0.3,0.4,0.2,0.3,0.6,0.6,0.7,0.8,0.7,0.7,0.7,0.6,0.6,0.8,0.5,0.8
12,0.9,0.7,0.6,0.1,0.5,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.5,0.5,0.8,0.9,0.9
13,0.9,0.7,0.6,0.1,0.2,0.3,0.3,0.2,0.3,0.6,0.6,0.7,0.9,0.8,0.7,0.7,0.7,0.6,0.5,0.4,0.6
14,0.9,0.7,0.6,0.1,0.2,0.4,0.3,0.2,0.3,0.5,0.5,0.7,0.8,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.9
15,0.9,0.8,0.6,0.1,0.3,0.4,0.3,0.2,0.3,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.5,0.6,0.9,0.9,0.9
16,0.9,0.7,0.6,0.4,0.2,0.3,0.4,0.2,0.3,0.6,0.6,0.7,0.8,0.7,0.7,0.7,0.7,0.6,0.9,0.9,0.6
17,0.9,0.9,0.7,0.4,0.2,0.5,0.3,0.4,0.5,0.5,0.5,0.7,0.9,0.8,0.7,0.8,0.7,0.5,0.9,0.9,0.9
18,0.9,0.8,0.7,0.1,0.5,0.5,0.3,0.2,0.5,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.5,0.5,0.9,0.9,0.9
19,0.9,0.9,0.7,0.1,0.2,0.4,0.3,0.4,0.3,0.6,0.6,0.7,0.9,0.8,0.7,0.7,0.7,0.5,0.5,0.7,0.6
20,0.9,0.8,0.6,0.4,0.2,0.3,0.4,0.3,0.3,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.7,0.6,0.9,0.9,0.6
21,0.9,0.7,0.6,0.4,0.3,0.4,0.4,0.2,0.3,0.7,0.7,0.7,0.9,0.7,0.7,0.8,0.7,0.6,0.9,0.4,0.6
22,0.9,0.7,0.6,0.4,0.3,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.9,0.7,0.7,0.8,0.7,0.5,0.9,0.7,0.8
23,0.9,0.9,0.7,0.1,0.4,0.5,0.3,0.3,0.5,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.6,0.5,0.9,0.9,0.9
24,0.9,0.9,0.6,0.1,0.2,0.3,0.4,0.4,0.3,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.9,0.7
25,0.9,0.7,0.6,0.4,0.3,0.4,0.3,0.2,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.6,0.6,0.9,0.9,0.9
26,0.9,0.8,0.7,0.4,0.5,0.5,0.3,0.3,0.5,0.5,0.5,0.7,0.8,0.8,0.7,0.8,0.7,0.5,0.9,0.9,0.9
27,0.9,0.8,0.6,0.1,0.2,0.4,0.3,0.3,0.3,0.5,0.5,0.7,0.8,0.8,0.7,0.7,0.7,0.5,0.5,0.4,0.9
28,0.9,0.7,0.6,0.1,0.2,0.3,0.4,0.2,0.3,0.7,0.7,0.7,0.9,0.7,0.7,0.7,0.7,0.6,0.8,0.4,0.6
29,0.9,0.7,0.6,0.4,0.5,0.4,0.4,0.2,0.3,0.5,0.5,0.7,0.7,0.7,0.7,0.8,0.5,0.6,0.9,0.9,0.9
30,0.9,0.7,0.6,0.1,0.2,0.3,0.4,0.3,0.3,0.7,0.7,0.7,0.9,0.8,0.7,0.7,0.7,0.6,0.8,0.9,0.6
31,0.9,0.8,0.7,0.4,0.4,0.4,0.3,0.2,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.6,0.6,0.9,0.9,0.9
32,0.9,0.9,0.7,0.1,0.2,0.5,0.3,0.4,0.5,0.5,0.5,0.7,0.9,0.8,0.7,0.8,0.7,0.5,0.6,0.9,0.9
33,0.9,0.7,0.7,0.4,0.5,0.5,0.4,0.2,0.3,0.5,0.5,0.7,0.7,0.7,0.7,0.8,0.6,0.6,0.9,0.9,0.9
34,0.9,0.9,0.7,0.4,0.2,0.5,0.3,0.4,0.5,0.5,0.5,0.7,0.9,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.9
35,0.9,0.7,0.7,0.4,0.5,0.4,0.4,0.2,0.3,0.5,0.5,0.7,0.7,0.7,0.7,0.8,0.5,0.6,0.9,0.9,0.9
36,0.9,0.8,0.7,0.1,0.2,0.5,0.3,0.3,0.5,0.5,0.5,0.7,0.8,0.8,0.7,0.8,0.7,0.5,0.9,0.9,0.9
37,0.9,0.7,0.6,0.1,0.2,0.4,0.3,0.2,0.3,0.6,0.6,0.7,0.9,0.7,0.7,0.8,0.7,0.5,0.5,0.4,0.6
38,0.9,0.8,0.6,0.1,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.7,0.8,0.8,0.7,0.7,0.7,0.5,0.5,0.4,0.9
39,0.9,0.7,0.6,0.1,0.4,0.4,0.4,0.2,0.3,0.5,0.5,0.7,0.7,0.7,0.7,0.8,0.5,0.6,0.9,0.9,0.9
40,0.9,0.7,0.6,0.1,0.4,0.4,0.3,0.2,0.3,0.5,0.5,0.7,0.8,0.7,0.7,0.8,0.5,0.5,0.6,0.4,0.9
41,0.9,0.9,0.6,0.1,0.2,0.4,0.3,0.4,0.3,0.5,0.5,0.7,0.8,0.8,0.7,0.7,0.7,0.5,0.5,0.5,0.9
42,0.9,0.8,0.7,0.4,0.4,0.5,0.3,0.2,0.5,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.6,0.6,0.9,0.9,0.9
43,0.9,0.8,0.7,0.4,0.2,0.3,0.4,0.2,0.3,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.9
44,0.9,0.8,0.6,0.1,0.2,0.3,0.4,0.2,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.7,0.7,0.6,0.9,0.9,0.9
45,0.9,0.8,0.7,0.4,0.3,0.4,0.3,0.2,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.6,0.6,0.9,0.9,0.9
46,0.9,0.7,0.6,0.1,0.2,0.3,0.4,0.2,0.3,0.6,0.6,0.7,0.8,0.7,0.7,0.7,0.7,0.6,0.9,0.9,0.8
47,0.9,0.8,0.6,0.1,0.2,0.3,0.4,0.2,0.3,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.7,0.6,0.9,0.9,0.8
48,0.9,0.9,0.6,0.1,0.2,0.3,0.4,0.3,0.3,0.5,0.5,0.7,0.6,0.8,0.7,0.7,0.7,0.6,0.8,0.9,0.9
49,0.9,0.7,0.6,0.4,0.2,0.3,0.4,0.2,0.3,0.7,0.7,0.7,0.9,0.7,0.7,0.7,0.7,0.6,0.9,0.5,0.6
50,0.9,0.7,0.6,0.4,0.2,0.3,0.4,0.2,0.3,0.7,0.7,0.7,0.9,0.7,0.7,0.7,0.6,0.6,0.9,0.4,0.6
51,0.9,0.9,0.6,0.1,0.2,0.3,0.3,0.4,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.7,0.7,0.5,0.6,0.9,0.9
52,0.9,0.9,0.7,0.1,0.4,0.5,0.3,0.3,0.5,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.6,0.5,0.9,0.9,0.9
53,0.9,0.9,0.7,0.1,0.2,0.4,0.3,0.3,0.5,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.7,0.5,0.9,0.9,0.9
54,0.9,0.7,0.7,0.4,0.3,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.9,0.7,0.7,0.8,0.7,0.5,0.9,0.9,0.8
55,0.9,0.8,0.6,0.4,0.2,0.3,0.4,0.2,0.3,0.7,0.7,0.7,0.9,0.8,0.7,0.7,0.7,0.6,0.9,0.9,0.6
56,0.9,0.8,0.6,0.1,0.2,0.4,0.3,0.4,0.3,0.5,0.5,0.7,0.9,0.8,0.7,0.7,0.7,0.5,0.5,0.4,0.8
57,0.9,0.7,0.6,0.4,0.2,0.4,0.4,0.2,0.3,0.6,0.6,0.7,0.8,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.8
58,0.9,0.7,0.6,0.4,0.3,0.4,0.4,0.2,0.3,0.6,0.6,0.7,0.9,0.7,0.7,0.8,0.7,0.6,0.9,0.9,0.7
59,0.9,0.7,0.6,0.1,0.2,0.4,0.4,0.2,0.3,0.6,0.6,0.7,0.8,0.7,0.7,0.7,0.7,0.6,0.9,0.9,0.8
60,0.9,0.8,0.7,0.1,0.5,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.5,0.5,0.9,0.9,0.9
61,0.9,0.9,0.7,0.4,0.5,0.5,0.3,0.3,0.5,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.6,0.5,0.9,0.9,0.9
62,0.9,0.9,0.7,0.1,0.2,0.4,0.3,0.4,0.3,0.5,0.5,0.7,0.8,0.8,0.7,0.7,0.7,0.5,0.6,0.9,0.9
63,0.9,0.8,0.7,0.1,0.4,0.5,0.3,0.3,0.4,0.5,0.5,0.7,0.9,0.8,0.7,0.8,0.7,0.5,0.6,0.5,0.9
64,0.9,0.8,0.6,0.1,0.2,0.4,0.3,0.2,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.7,0.6,0.5,0.8,0.9,0.9
65,0.9,0.8,0.6,0.1,0.2,0.2,0.4,0.2,0.3,0.6,0.6,0.7,0.7,0.8,0.7,0.7,0.7,0.6,0.9,0.9,0.8
66,0.9,0.8,0.6,0.1,0.2,0.3,0.4,0.2,0.3,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.7,0.6,0.8,0.8,0.9
67,0.9,0.9,0.7,0.1,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.7,0.7,0.8,0.7,0.7,0.7,0.6,0.9,0.9,0.9
68,0.9,0.7,0.7,0.4,0.5,0.5,0.3,0.2,0.4,0.5,0.5,0.7,0.8,0.7,0.7,0.8,0.5,0.5,0.9,0.9,0.9
69,0.9,0.7,0.6,0.4,0.2,0.3,0.4,0.2,0.3,0.7,0.7,0.7,0.9,0.7,0.7,0.8,0.7,0.6,0.9,0.9,0.6
70,0.9,0.8,0.7,0.4,0.3,0.4,0.4,0.2,0.5,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.9
71,0.9,0.8,0.6,0.1,0.3,0.4,0.3,0.2,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.5,0.5,0.8,0.9,0.9
72,0.9,0.8,0.6,0.4,0.2,0.3,0.4,0.2,0.3,0.5,0.5,0.7,0.6,0.8,0.7,0.7,0.7,0.6,0.9,0.9,0.9
73,0.9,0.8,0.7,0.4,0.4,0.3,0.4,0.2,0.3,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.6,0.6,0.9,0.9,0.9
74,0.9,0.9,0.7,0.1,0.5,0.5,0.3,0.3,0.4,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.5,0.5,0.5,0.5,0.9
75,0.9,0.7,0.6,0.1,0.2,0.3,0.3,0.2,0.3,0.5,0.5,0.7,0.8,0.7,0.7,0.7,0.6,0.6,0.7,0.4,0.9
76,0.9,0.8,0.7,0.4,0.2,0.5,0.3,0.3,0.5,0.5,0.5,0.7,0.8,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.9
77,0.9,0.8,0.7,0.1,0.5,0.5,0.3,0.2,0.4,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.5,0.5,0.9,0.9,0.9
78,0.9,0.8,0.6,0.1,0.3,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.8,0.8,0.7,0.8,0.6,0.5,0.6,0.4,0.9
79,0.9,0.9,0.7,0.4,0.2,0.4,0.4,0.4,0.5,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.9
80,0.9,0.8,0.6,0.4,0.2,0.3,0.4,0.2,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.9
81,0.9,0.8,0.6,0.1,0.2,0.4,0.3,0.2,0.3,0.5,0.5,0.7,0.8,0.8,0.7,0.7,0.7,0.6,0.8,0.9,0.9
82,0.9,0.7,0.6,0.1,0.2,0.4,0.3,0.2,0.3,0.6,0.6,0.7,0.9,0.7,0.7,0.7,0.7,0.5,0.5,0.4,0.6
83,0.9,0.8,0.7,0.1,0.2,0.4,0.3,0.3,0.3,0.5,0.5,0.7,0.8,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.8
84,0.9,0.8,0.6,0.1,0.2,0.3,0.4,0.3,0.3,0.6,0.6,0.7,0.9,0.8,0.7,0.7,0.7,0.6,0.6,0.5,0.6
85,0.9,0.7,0.6,0.1,0.2,0.3,0.4,0.2,0.3,0.6,0.6,0.7,0.9,0.7,0.7,0.7,0.7,0.6,0.8,0.4,0.6
86,0.9,0.7,0.6,0.4,0.4,0.4,0.4,0.2,0.3,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.5,0.6,0.9,0.9,0.9
87,0.9,0.8,0.7,0.1,0.2,0.4,0.3,0.3,0.4,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.9
88,0.9,0.8,0.7,0.1,0.5,0.5,0.3,0.2,0.4,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.5,0.5,0.9,0.9,0.9
89,0.9,0.8,0.7,0.4,0.5,0.5,0.3,0.2,0.5,0.5,0.5,0.7,0.8,0.8,0.7,0.8,0.6,0.5,0.9,0.9,0.9
90,0.9,0.8,0.6,0.1,0.2,0.3,0.4,0.3,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.7,0.7,0.6,0.9,0.9,0.9
91,0.9,0.7,0.6,0.1,0.2,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.9,0.7,0.7,0.8,0.7,0.5,0.8,0.6,0.7
92,0.9,0.7,0.6,0.4,0.4,0.5,0.3,0.2,0.3,0.6,0.6,0.7,0.9,0.7,0.7,0.8,0.7,0.5,0.9,0.4,0.6
93,0.9,0.8,0.6,0.1,0.2,0.3,0.4,0.2,0.3,0.6,0.6,0.7,0.7,0.8,0.7,0.7,0.7,0.6,0.8,0.9,0.9
94,0.9,0.7,0.6,0.4,0.2,0.4,0.4,0.2,0.3,0.6,0.6,0.7,0.9,0.7,0.7,0.8,0.7,0.6,0.9,0.5,0.6
95,0.9,0.7,0.7,0.4,0.4,0.5,0.4,0.2,0.4,0.5,0.5,0.7,0.8,0.7,0.7,0.8,0.7,0.6,0.9,0.9,0.9
96,0.9,0.8,0.7,0.1,0.3,0.5,0.3,0.3,0.5,0.5,0.5,0.7,0.8,0.8,0.7,0.8,0.7,0.5,0.9,0.9,0.9
97,0.9,0.7,0.7,0.4,0.5,0.5,0.4,0.2,0.3,0.5,0.5,0.7,0.6,0.7,0.7,0.8,0.5,0.6,0.9,0.9,0.9
98,0.9,0.7,0.6,0.4,0.2,0.4,0.4,0.2,0.3,0.6,0.6,0.7,0.8,0.7,0.7,0.8,0.7,0.6,0.9,0.9,0.7
99,0.9,0.9,0.7,0.1,0.2,0.5,0.3,0.4,0.5,0.5,0.5,0.7,0.9,0.8,0.7,0.8,0.7,0.5,0.7,0.9,0.9
100,0.9,0.7,0.7,0.4,0.4,0.4,0.4,0.2,0.3,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.7,0.6,0.9,0.9,0.9
101,0.9,0.8,0.7,0.4,0.5,0.5,0.3,0.2,0.5,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.5,0.5,0.9,0.9,0.9
102,0.9,0.9,0.7,0.1,0.2,0.4,0.4,0.4,0.5,0.5,0.5,0.7,0.8,0.8,0.7,0.7,0.7,0.6,0.9,0.9,0.9
103,0.9,0.7,0.6,0.1,0.2,0.4,0.3,0.2,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.7,0.5,0.5,0.6,0.4,0.9
104,0.9,0.8,0.6,0.1,0.3,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.8,0.8,0.7,0.8,0.6,0.5,0.7,0.7,0.9
105,0.9,0.7,0.6,0.1,0.3,0.4,0.3,0.2,0.3,0.5,0.5,0.7,0.8,0.7,0.7,0.8,0.5,0.6,0.9,0.7,0.9
106,0.9,0.7,0.7,0.4,0.5,0.5,0.3,0.2,0.4,0.5,0.5,0.7,0.7,0.7,0.7,0.8,0.5,0.6,0.9,0.9,0.9
107,0.9,0.7,0.6,0.1,0.2,0.4,0.3,0.2,0.3,0.6,0.6,0.7,0.9,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.6
108,0.9,0.7,0.6,0.4,0.5,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.7,0.7,0.7,0.8,0.5,0.5,0.9,0.9,0.9
109,0.9,0.9,0.6,0.1,0.2,0.3,0.4,0.3,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.7,0.7,0.6,0.8,0.9,0.9
110,0.9,0.7,0.6,0.1,0.5,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.8,0.7,0.7,0.8,0.5,0.5,0.6,0.4,0.9
111,0.9,0.7,0.6,0.4,0.2,0.4,0.4,0.2,0.3,0.7,0.7,0.7,0.9,0.7,0.7,0.8,0.7,0.6,0.9,0.9,0.6
112,0.9,0.8,0.7,0.4,0.2,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.9,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.9
113,0.9,0.7,0.6,0.4,0.5,0.4,0.4,0.2,0.3,0.5,0.5,0.7,0.7,0.7,0.7,0.8,0.5,0.6,0.9,0.9,0.9
114,0.9,0.8,0.6,0.1,0.2,0.3,0.4,0.4,0.3,0.6,0.6,0.7,0.9,0.8,0.7,0.7,0.7,0.6,0.6,0.9,0.6
115,0.9,0.8,0.7,0.1,0.3,0.4,0.3,0.2,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.6,0.5,0.9,0.9,0.9
116,0.9,0.7,0.6,0.1,0.4,0.4,0.3,0.2,0.3,0.5,0.5,0.7,0.7,0.7,0.7,0.8,0.5,0.5,0.9,0.8,0.9
117,0.9,0.7,0.6,0.4,0.2,0.5,0.3,0.2,0.3,0.6,0.6,0.7,0.9,0.7,0.7,0.8,0.7,0.5,0.8,0.4,0.6
118,0.9,0.7,0.6,0.1,0.2,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.9,0.7,0.7,0.8,0.6,0.5,0.5,0.4,0.7
119,0.9,0.8,0.7,0.1,0.3,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.8,0.8,0.7,0.8,0.6,0.5,0.8,0.9,0.9
120,0.9,0.7,0.6,0.4,0.3,0.4,0.4,0.2,0.3,0.6,0.6,0.7,0.9,0.7,0.7,0.8,0.7,0.6,0.9,0.9,0.6
121,0.9,0.7,0.6,0.4,0.2,0.3,0.4,0.2,0.3,0.6,0.6,0.7,0.8,0.7,0.7,0.7,0.7,0.6,0.9,0.9,0.7
122,0.9,0.7,0.6,0.4,0.4,0.4,0.3,0.2,0.3,0.5,0.5,0.7,0.8,0.7,0.7,0.8,0.6,0.6,0.9,0.9,0.9
123,0.9,0.7,0.7,0.4,0.5,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.6,0.7,0.7,0.8,0.5,0.5,0.9,0.9,0.9
124,0.9,0.9,0.7,0.1,0.2,0.4,0.3,0.4,0.5,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.6,0.5,0.9,0.9,0.9
125,0.9,0.8,0.7,0.4,0.5,0.5,0.3,0.2,0.5,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.5,0.6,0.9,0.9,0.9
126,0.9,0.7,0.6,0.4,0.2,0.4,0.4,0.2,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.9
127,0.9,0.8,0.6,0.1,0.2,0.4,0.3,0.3,0.3,0.5,0.5,0.7,0.9,0.8,0.7,0.8,0.7,0.5,0.6,0.6,0.8
128,0.9,0.8,0.7,0.1,0.4,0.4,0.3,0.2,0.4,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.5,0.6,0.9,0.9,0.9
129,0.9,0.7,0.6,0.4,0.2,0.3,0.4,0.2,0.3,0.6,0.6,0.7,0.8,0.7,0.7,0.7,0.7,0.6,0.9,0.9,0.7
130,0.9,0.9,0.7,0.1,0.2,0.3,0.4,0.3,0.4,0.5,0.5,0.7,0.6,0.8,0.7,0.7,0.7,0.6,0.9,0.9,0.9
131,0.9,0.8,0.7,0.4,0.4,0.4,0.4,0.2,0.3,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.6,0.6,0.9,0.9,0.9
132,0.9,0.9,0.7,0.4,0.2,0.3,0.4,0.4,0.4,0.6,0.6,0.7,0.7,0.8,0.8,0.7,0.7,0.6,0.9,0.9,0.9
133,0.9,0.7,0.7,0.4,0.4,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.8,0.7,0.7,0.8,0.6,0.6,0.9,0.9,0.9
134,0.9,0.8,0.6,0.1,0.2,0.3,0.3,0.4,0.3,0.5,0.5,0.7,0.8,0.8,0.7,0.7,0.7,0.5,0.5,0.5,0.8
135,0.9,0.9,0.7,0.1,0.4,0.5,0.3,0.4,0.5,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.7,0.5,0.9,0.9,0.9
136,0.9,0.9,0.6,0.1,0.2,0.3,0.3,0.4,0.3,0.5,0.5,0.7,0.8,0.8,0.7,0.7,0.7,0.6,0.5,0.6,0.9
137,0.9,0.7,0.6,0.4,0.2,0.3,0.4,0.2,0.3,0.6,0.6,0.7,0.8,0.7,0.7,0.8,0.7,0.6,0.9,0.9,0.7
138,0.9,0.8,0.7,0.4,0.5,0.5,0.3,0.2,0.5,0.5,0.5,0.7,0.6,0.8,0.7,0.8,0.5,0.5,0.9,0.9,0.9
139,0.9,0.7,0.6,0.1,0.2,0.4,0.4,0.2,0.3,0.6,0.6,0.7,0.9,0.7,0.7,0.7,0.7,0.6,0.8,0.4,0.6
140,0.9,0.8,0.7,0.1,0.5,0.5,0.3,0.2,0.5,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.5,0.5,0.8,0.9,0.9
141,0.9,0.8,0.6,0.1,0.2,0.4,0.3,0.4,0.3,0.6,0.6,0.7,0.9,0.8,0.7,0.7,0.7,0.5,0.5,0.5,0.6
142,0.9,0.9,0.6,0.1,0.2,0.3,0.3,0.4,0.3,0.5,0.5,0.7,0.9,0.8,0.7,0.7,0.7,0.5,0.5,0.4,0.7
143,0.9,0.8,0.7,0.4,0.2,0.4,0.4,0.2,0.3,0.5,0.5,0.7,0.8,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.9
144,0.9,0.9,0.6,0.1,0.2,0.3,0.4,0.3,0.3,0.5,0.5,0.7,0.6,0.8,0.7,0.7,0.7,0.6,0.9,0.9,0.9
145,0.9,0.8,0.7,0.4,0.3,0.5,0.4,0.2,0.4,0.6,0.6,0.7,0.9,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.8
146,0.9,0.7,0.6,0.4,0.2,0.3,0.4,0.2,0.3,0.7,0.7,0.7,0.9,0.7,0.7,0.7,0.7,0.6,0.9,0.9,0.6
147,0.9,0.7,0.6,0.1,0.2,0.4,0.3,0.2,0.3,0.6,0.6,0.7,0.9,0.7,0.7,0.7,0.7,0.6,0.8,0.4,0.7
148,0.9,0.7,0.6,0.1,0.4,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.8,0.7,0.7,0.8,0.6,0.5,0.9,0.9,0.9
149,0.9,0.7,0.6,0.4,0.5,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.9,0.7,0.7,0.8,0.5,0.5,0.9,0.5,0.9
150,0.9,0.9,0.6,0.1,0.2,0.3,0.3,0.4,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.7,0.7,0.5,0.6,0.9,0.9
151,0.9,0.8,0.6,0.1,0.2,0.4,0.3,0.3,0.3,0.5,0.5,0.7,0.8,0.8,0.7,0.7,0.7,0.5,0.7,0.9,0.9
152,0.9,0.9,0.6,0.4,0.2,0.2,0.4,0.2,0.3,0.6,0.6,0.7,0.6,0.8,0.8,0.7,0.7,0.6,0.9,0.9,0.9
153,0.9,0.8,0.7,0.1,0.2,0.4,0.3,0.3,0.3,0.6,0.6,0.7,0.9,0.8,0.7,0.8,0.7,0.6,0.9,0.9,0.8
154,0.9,0.7,0.6,0.4,0.4,0.4,0.3,0.2,0.3,0.6,0.6,0.7,0.9,0.7,0.7,0.8,0.7,0.6,0.9,0.9,0.8
155,0.9,0.8,0.6,0.1,0.2,0.4,0.3,0.3,0.3,0.5,0.5,0.7,0.9,0.8,0.7,0.7,0.7,0.5,0.5,0.4,0.6
156,0.9,0.8,0.6,0.1,0.2,0.3,0.3,0.3,0.3,0.6,0.6,0.7,0.9,0.8,0.7,0.7,0.7,0.5,0.5,0.4,0.7
157,0.9,0.7,0.7,0.4,0.4,0.5,0.3,0.2,0.3,0.5,0.5,0.7,0.8,0.7,0.7,0.8,0.6,0.5,0.9,0.9,0.9
158,0.9,0.9,0.7,0.1,0.2,0.5,0.3,0.4,0.5,0.5,0.5,0.7,0.9,0.8,0.7,0.8,0.7,0.5,0.9,0.9,0.9
159,0.9,0.9,0.7,0.1,0.2,0.4,0.3,0.3,0.3,0.5,0.5,0.7,0.7,0.8,0.7,0.7,0.7,0.6,0.9,0.9,0.9
